,name,male,female
364,will,1.0,0.0
365,guillaume,1.0,0.0
366,jason,1.0,0.0
367,nicolas%20,0.0,1.0
368,ben,1.0,0.0
369,,1.0,1.0
370,nelson,1.0,0.0
371,,1.0,1.0
372,k,1.0,0.0
373,k,1.0,0.0
374,,1.0,1.0
375,mccormack,1.0,0.0
376,arthur,1.0,0.0
377,olivia,0.0,1.0
378,s,1.0,0.0
379,madisshya,0.0,1.0
380,broden%20,1.0,0.0
381,darth,1.0,0.0
382,larry,1.0,0.0
383,opszelda,0.0,1.0
384,,1.0,1.0
385,miguel,1.0,0.0
386,jason,1.0,0.0
387,dave,1.0,1.0
388,carmella,0.0,1.0
389,vincent,1.0,0.0
390,mark,1.0,0.0
391,farl,0.0,1.0
392,david,1.0,0.0
393,rob,1.0,0.0
394,jon,1.0,0.0
395,r,1.0,0.0
396,justin,1.0,1.0
397,,1.0,1.0
398,jeremy,1.0,0.0
399,,1.0,1.0
400,kevin%20,0.0,1.0
401,marcel,1.0,0.0
402,ben,1.0,0.0
403,reggie,1.0,1.0
404,steven,1.0,0.0
405,phil,1.0,1.0
406,aysu,1.0,1.0
407,philip,1.0,0.0
408,jacque,0.0,1.0
409,jonathan,1.0,0.0
410,gaz,1.0,0.0
411,,1.0,1.0
412,jin,1.0,0.0
413,philip,1.0,0.0
414,jacque,0.0,1.0
415,jonathan,1.0,0.0
416,gaz,1.0,0.0
417,,1.0,1.0
418,jin,1.0,0.0
419,,1.0,1.0
420,jim,1.0,0.0
421,patrick,1.0,0.0
422,joshua,1.0,1.0
423,tadeu,1.0,0.0
424,,1.0,1.0
425,sue,0.0,1.0
426,,1.0,1.0
427,dave,1.0,1.0
428,,1.0,1.0
429,dan,1.0,0.0
430,,1.0,1.0
431,,1.0,1.0
432,jeff,1.0,0.0
433,tao,1.0,0.0
434,sean,1.0,1.0
435,alex,1.0,1.0
436,luke,1.0,0.0
437,thomas,1.0,0.0
438,robert,1.0,0.0
439,teddy,1.0,1.0
440,arnold,1.0,0.0
441,ben,1.0,0.0
442,,1.0,1.0
443,jon,1.0,0.0
444,casey,0.0,1.0
445,edrei,0.0,1.0
446,,1.0,1.0
447,gilles,1.0,1.0
448,,1.0,1.0
449,manuel,1.0,0.0
450,,1.0,1.0
451,matthew,1.0,0.0
452,andrew,1.0,0.0
453,gene,1.0,1.0
454,shane,1.0,1.0
455,paul,1.0,0.0
456,dan,1.0,0.0
457,chris,1.0,1.0
458,john,1.0,0.0
459,istvan,1.0,0.0
460,nicholas,1.0,0.0
461,deanna,0.0,1.0
462,mike,1.0,0.0
