,first_name,male_x,female_x,sex_x,male_y,female_y,sex_y
219,marc,1.0,0.0,male,1.0,0.0,male
220,marc-andré,0.0,1.0,female,0.0,1.0,female
221,marcel,1.0,0.0,male,1.0,0.0,male
222,mario,1.0,1.0,both,1.0,0.0,male
223,mark,1.0,0.0,male,1.0,0.0,male
224,mateo,1.0,0.0,male,1.0,0.0,male
225,matien,1.0,1.0,both,1.0,1.0,both
226,matt,1.0,0.0,male,1.0,0.0,male
227,matteo,1.0,0.0,male,1.0,0.0,male
228,matthew,1.0,0.0,male,1.0,0.0,male
229,max,1.0,1.0,both,1.0,1.0,both
230,maxime,1.0,1.0,both,0.0,1.0,female
231,maximus,1.0,0.0,male,1.0,0.0,male
232,maycon,1.0,0.0,male,1.0,0.0,male
233,mccormack,1.0,0.0,male,1.0,0.0,male
234,mic,1.0,0.0,male,1.0,0.0,male
235,michael,1.0,0.0,male,1.0,0.0,male
236,michel,1.0,1.0,both,1.0,1.0,both
237,mick,1.0,0.0,male,1.0,0.0,male
238,miguel,1.0,0.0,male,1.0,0.0,male
239,mike,1.0,0.0,male,1.0,0.0,male
240,mind,0.0,1.0,female,1.0,1.0,both
241,miriam,0.0,1.0,female,0.0,1.0,female
242,mj,1.0,1.0,both,1.0,1.0,both
243,mk,1.0,0.0,male,1.0,0.0,male
244,mo,1.0,0.0,male,1.0,0.0,male
245,mohammed,1.0,0.0,male,1.0,0.0,male
246,movie,1.0,1.0,both,1.0,1.0,both
247,nam,1.0,0.0,male,1.0,0.0,male
248,natalie,0.0,1.0,female,0.0,1.0,female
249,nathan,1.0,0.0,male,1.0,0.0,male
250,ned,1.0,0.0,male,1.0,0.0,male
251,nelson,1.0,0.0,male,1.0,0.0,male
252,nicholas,1.0,0.0,male,1.0,0.0,male
253,nicholas%20,1.0,0.0,male,1.0,0.0,male
254,nick,1.0,0.0,male,1.0,0.0,male
255,nico,1.0,0.0,male,1.0,0.0,male
256,nicolas,1.0,0.0,male,1.0,0.0,male
257,nicolas%20,1.0,0.0,male,1.0,0.0,male
258,nicole,0.0,1.0,female,0.0,1.0,female
259,nikolas,1.0,0.0,male,1.0,0.0,male
260,noel,0.0,1.0,female,1.0,1.0,both
261,oliver,1.0,0.0,male,1.0,0.0,male
262,olivia,0.0,1.0,female,0.0,1.0,female
263,opszelda,0.0,1.0,female,0.0,1.0,female
264,ozy,1.0,0.0,male,1.0,0.0,male
265,p,1.0,0.0,male,1.0,0.0,male
266,patrick,1.0,0.0,male,1.0,0.0,male
267,paul,1.0,0.0,male,1.0,0.0,male
268,pdog,1.0,0.0,male,1.0,0.0,male
269,petar,1.0,0.0,male,1.0,0.0,male
270,phil,1.0,1.0,both,1.0,0.0,male
271,philip,1.0,0.0,male,1.0,0.0,male
272,pierre,1.0,0.0,male,1.0,0.0,male
273,poop,1.0,1.0,both,1.0,0.0,male
274,private,1.0,1.0,both,1.0,1.0,both
275,r,1.0,0.0,male,1.0,0.0,male
276,rafael,1.0,0.0,male,1.0,0.0,male
277,ramsey,1.0,0.0,male,1.0,0.0,male
278,ray,1.0,1.0,both,1.0,0.0,male
279,rebecca,0.0,1.0,female,0.0,1.0,female
280,reggie,1.0,1.0,both,1.0,0.0,male
281,reid,1.0,0.0,male,1.0,0.0,male
282,ricardo,1.0,0.0,male,1.0,0.0,male
283,richard%20,1.0,0.0,male,1.0,0.0,male
284,rick,1.0,0.0,male,1.0,0.0,male
285,rob,1.0,0.0,male,1.0,0.0,male
286,robert,1.0,0.0,male,1.0,0.0,male
287,roger,1.0,0.0,male,1.0,0.0,male
288,rohan,1.0,0.0,male,1.0,0.0,male
289,ronnie,1.0,1.0,both,0.0,1.0,female
290,ryan,1.0,0.0,male,1.0,0.0,male
291,s,1.0,0.0,male,1.0,0.0,male
292,sam,1.0,1.0,both,1.0,1.0,both
293,samantha,0.0,1.0,female,0.0,1.0,female
294,samuel,1.0,0.0,male,1.0,0.0,male
295,sanjay,1.0,1.0,both,1.0,0.0,male
296,sarah,0.0,1.0,female,0.0,1.0,female
297,scott,1.0,0.0,male,1.0,0.0,male
298,scottfi,1.0,0.0,male,1.0,0.0,male
299,sean,1.0,1.0,both,1.0,1.0,both
300,sebastian,1.0,0.0,male,1.0,0.0,male
301,sergio,1.0,0.0,male,1.0,0.0,male
302,seth,1.0,0.0,male,1.0,0.0,male
303,shahmir,0.0,1.0,female,1.0,1.0,both
304,shane,1.0,1.0,both,1.0,1.0,both
305,shin,1.0,0.0,male,1.0,1.0,both
306,shirdi,0.0,1.0,female,0.0,1.0,female
307,simon,1.0,0.0,male,1.0,0.0,male
308,slade,1.0,0.0,male,1.0,0.0,male
309,sneed,1.0,0.0,male,1.0,0.0,male
310,somchai,0.0,1.0,female,1.0,0.0,male
311,spencer,1.0,0.0,male,1.0,0.0,male
312,stanton,1.0,0.0,male,1.0,0.0,male
313,stefanie,0.0,1.0,female,0.0,1.0,female
314,stephen,1.0,0.0,male,1.0,0.0,male
315,sterling,1.0,0.0,male,1.0,0.0,male
316,steve,1.0,0.0,male,1.0,0.0,male
317,steve%20,1.0,0.0,male,1.0,0.0,male
318,steven,1.0,0.0,male,1.0,0.0,male
319,sue,0.0,1.0,female,0.0,1.0,female
320,szymon,1.0,0.0,male,1.0,0.0,male
321,t,1.0,0.0,male,1.0,0.0,male
322,tad,1.0,0.0,male,1.0,0.0,male
323,tadeu,1.0,0.0,male,1.0,0.0,male
324,tahseen,0.0,1.0,female,0.0,1.0,female
325,talha,0.0,1.0,female,0.0,1.0,female
326,tanel%20,0.0,1.0,female,0.0,1.0,female
327,tao,1.0,0.0,male,1.0,0.0,male
328,tayloe,1.0,0.0,male,1.0,0.0,male
329,taylor,1.0,0.0,male,1.0,0.0,male
330,teddy,1.0,1.0,both,1.0,1.0,both
331,teresa,0.0,1.0,female,0.0,1.0,female
332,thomas,1.0,0.0,male,1.0,0.0,male
333,thunderstroke,1.0,0.0,male,1.0,0.0,male
334,tiffany,0.0,1.0,female,0.0,1.0,female
335,tim,1.0,1.0,both,1.0,0.0,male
336,timothy,1.0,0.0,male,1.0,0.0,male
337,tom,1.0,0.0,male,1.0,0.0,male
338,tomislav,1.0,1.0,both,1.0,1.0,both
339,tommy,1.0,1.0,both,1.0,0.0,male
340,tony,1.0,1.0,both,1.0,1.0,both
341,tracy,1.0,1.0,both,1.0,1.0,both
342,trump,1.0,0.0,male,1.0,0.0,male
343,tucker,1.0,0.0,male,1.0,0.0,male
344,val,1.0,1.0,both,1.0,1.0,both
345,vicki,0.0,1.0,female,0.0,1.0,female
346,vince,1.0,0.0,male,1.0,0.0,male
347,vincent,1.0,0.0,male,1.0,0.0,male
348,vishnunath,1.0,1.0,both,1.0,1.0,both
349,vivek,0.0,1.0,female,0.0,1.0,female
350,will,1.0,0.0,male,1.0,0.0,male
351,willem,1.0,0.0,male,1.0,0.0,male
352,william,1.0,0.0,male,1.0,0.0,male
353,wolf,1.0,0.0,male,1.0,0.0,male
354,z,1.0,0.0,male,1.0,0.0,male
355,zeke,1.0,0.0,male,1.0,0.0,male
356,éva,0.0,1.0,female,0.0,1.0,female
